"Jahr";"Monat";"Bundesland";"Temperatur";"Niederschlag";"Sonnendauer"
1881;1;"Brandenburg.Berlin";-5.54;20.4;NA
1881;1;"Brandenburg";-5.56;20.3;NA
1881;1;"Baden.Wuerttemberg";-4.89;36.2;NA
1881;1;"Bayern";-6.51;22.5;NA
1881;1;"Hessen";-5.68;33.2;NA
1881;1;"Mecklenburg.Vorpommern";-5.07;16.8;NA
1881;1;"Niedersachsen";-4.55;35.1;NA
1881;1;"Niedersachsen.Hamburg.Bremen";-4.55;34.9;NA
1881;1;"Nordrhein.Westfalen";-4.21;40.6;NA
1881;1;"Rheinland.Pfalz";-4.49;39.3;NA
1881;1;"Schleswig.Holstein";-4.06;21.5;NA
1881;1;"Saarland";-4.15;52.8;NA
1881;1;"Sachsen";-6.22;21.8;NA
1881;1;"Sachsen.Anhalt";-5.89;23.5;NA
1881;1;"Thueringen.Sachsen.Anhalt";-6.28;25;NA
1881;1;"Thueringen";-6.76;26.8;NA
1881;1;"Deutschland";-5.36;28.7;NA
1881;2;"Brandenburg.Berlin";-1;24.2;NA
1881;2;"Brandenburg";-1.01;24.1;NA
1881;2;"Baden.Wuerttemberg";1.33;56.7;NA
1881;2;"Bayern";-0.73;39.4;NA
1881;2;"Hessen";0.75;56;NA
1881;2;"Mecklenburg.Vorpommern";-2.01;21.7;NA
1881;2;"Niedersachsen";-0.05;43.9;NA
1881;2;"Niedersachsen.Hamburg.Bremen";-0.07;43.8;NA
1881;2;"Nordrhein.Westfalen";1.64;68.2;NA
1881;2;"Rheinland.Pfalz";1.45;63.7;NA
1881;2;"Schleswig.Holstein";-1.81;30.5;NA
1881;2;"Saarland";2.25;77;NA
1881;2;"Sachsen";-0.92;34.7;NA
1881;2;"Sachsen.Anhalt";-0.42;29;NA
1881;2;"Thueringen.Sachsen.Anhalt";-0.34;36.5;NA
1881;2;"Thueringen";-0.25;46;NA
1881;2;"Deutschland";-0.1;43.7;NA
1881;3;"Brandenburg.Berlin";1.71;60.7;NA
1881;3;"Brandenburg";1.7;60.7;NA
1881;3;"Baden.Wuerttemberg";4.42;84.6;NA
1881;3;"Bayern";2.5;89;NA
1881;3;"Hessen";3.43;99.5;NA
