"Jahr";"Monat";"Bundesland";"AvgTemp";"PrecipMM";"SunDuration"
1881;1;"Brandenburg.Berlin";-5.5;20.4;NA
1881;1;"Brandenburg";-5.6;20.3;NA
1881;1;"Baden.Wuerttemberg";-4.9;36.2;NA
1881;1;"Bayern";-6.5;22.5;NA
1881;1;"Hessen";-5.7;33.2;NA
1881;1;"Mecklenburg.Vorpommern";-5.1;16.8;NA
1881;1;"Niedersachsen";-4.6;35.1;NA
1881;1;"Niedersachsen.Hamburg.Bremen";-4.6;34.9;NA
1881;1;"Nordrhein.Westfalen";-4.2;40.6;NA
1881;1;"Rheinland.Pfalz";-4.5;39.3;NA
1881;1;"Schleswig.Holstein";-4.1;21.5;NA
1881;1;"Saarland";-4.2;52.8;NA
1881;1;"Sachsen";-6.2;21.8;NA
1881;1;"Sachsen.Anhalt";-5.9;23.5;NA
1881;1;"Thueringen.Sachsen.Anhalt";-6.3;25;NA
1881;1;"Thueringen";-6.8;26.8;NA
1881;1;"Deutschland";-5.4;28.7;NA
1881;2;"Brandenburg.Berlin";-1;24.2;NA
1881;2;"Brandenburg";-1;24.1;NA
1881;2;"Baden.Wuerttemberg";1.3;56.7;NA
1881;2;"Bayern";-0.7;39.4;NA
1881;2;"Hessen";0.8;56;NA
1881;2;"Mecklenburg.Vorpommern";-2;21.7;NA
1881;2;"Niedersachsen";-0.1;43.9;NA
1881;2;"Niedersachsen.Hamburg.Bremen";-0.1;43.8;NA
1881;2;"Nordrhein.Westfalen";1.6;68.2;NA
1881;2;"Rheinland.Pfalz";1.5;63.7;NA
1881;2;"Schleswig.Holstein";-1.8;30.5;NA
1881;2;"Saarland";2.3;77;NA
1881;2;"Sachsen";-0.9;34.7;NA
1881;2;"Sachsen.Anhalt";-0.4;29;NA
1881;2;"Thueringen.Sachsen.Anhalt";-0.3;36.5;NA
1881;2;"Thueringen";-0.3;46;NA
1881;2;"Deutschland";-0.1;43.7;NA
1881;3;"Brandenburg.Berlin";1.7;60.7;NA
1881;3;"Brandenburg";1.7;60.7;NA
1881;3;"Baden.Wuerttemberg";4.4;84.6;NA
1881;3;"Bayern";2.5;89;NA
1881;3;"Hessen";3.4;99.5;NA
1881;3;"Mecklenburg.Vorpommern";0.4;43.2;NA
1881;3;"Niedersachsen";2.2;91.3;NA
1881;3;"Niedersachsen.Hamburg.Bremen";2.2;90.9;NA
1881;3;"Nordrhein.Westfalen";3.8;124.7;NA
1881;3;"Rheinland.Pfalz";4.5;95.4;NA
